,class,layer,A,B,correlation,pvalue
112,brain_coral,conv_5,decoding_accuracy_delta,pwcca,0.538235294117647,0.031493228205838324
113,brain_coral,conv_5,decoding_accuracy_delta,mean_sq_cca_corr,-0.5588235294117647,0.02443651142450573
114,brain_coral,conv_5,decoding_accuracy_delta,mean_cca_corr,-0.5588235294117647,0.02443651142450573
115,brain_coral,conv_5,ablation_impact,cka,0.4242164906167463,0.10149527858552197
116,brain_coral,conv_5,ablation_impact,procrustes,0.45643546458763845,0.07554540544188021
117,brain_coral,conv_5,ablation_impact,pwcca,0.3561986566781962,0.17569244919071325
118,brain_coral,conv_5,ablation_impact,mean_sq_cca_corr,-0.3651483716701107,0.16431789846959996
119,brain_coral,conv_5,ablation_impact,mean_cca_corr,-0.3651483716701107,0.16431789846959996
120,brain_coral,dense_1,decoding_accuracy_delta,cka,0.6411764705882352,0.007434419082533942
121,brain_coral,dense_1,decoding_accuracy_delta,procrustes,0.6323529411764706,0.008577584103099355
122,brain_coral,dense_1,decoding_accuracy_delta,pwcca,0.6529411764705881,0.006102046679077
123,brain_coral,dense_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.6529411764705881,0.006102046679077
124,brain_coral,dense_1,decoding_accuracy_delta,mean_cca_corr,-0.6529411764705881,0.006102046679077
125,brain_coral,dense_1,ablation_impact,cka,0.28399766378744634,0.2864287610451771
126,brain_coral,dense_1,ablation_impact,procrustes,0.24729048275369475,0.3558096333220352
127,brain_coral,dense_1,ablation_impact,pwcca,0.22217504309902264,0.4082242345313366
128,brain_coral,dense_1,ablation_impact,mean_sq_cca_corr,-0.22217504309902264,0.4082242345313366
129,brain_coral,dense_1,ablation_impact,mean_cca_corr,-0.22217504309902264,0.4082242345313366
130,brain_coral,dense_2,decoding_accuracy_delta,cka,0.7852941176470588,0.00031285391788601143
131,brain_coral,dense_2,decoding_accuracy_delta,procrustes,0.8147058823529412,0.00012130950572235612
132,brain_coral,dense_2,decoding_accuracy_delta,pwcca,0.7911764705882354,0.0002619464480824597
133,brain_coral,dense_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.7588235294117647,0.0006540302361647908
134,brain_coral,dense_2,decoding_accuracy_delta,mean_cca_corr,-0.7764705882352941,0.0004043508405454705
135,brain_coral,dense_2,ablation_impact,cka,0.42713699954608947,0.09891431746916365
136,brain_coral,dense_2,ablation_impact,procrustes,0.461653120721531,0.07184606385022939
137,brain_coral,dense_2,ablation_impact,pwcca,0.38830636322371775,0.1372034363101596
138,brain_coral,dense_2,ablation_impact,mean_sq_cca_corr,-0.35379024204827614,0.17884014733528308
139,brain_coral,dense_2,ablation_impact,mean_cca_corr,-0.35379024204827614,0.17884014733528308
140,junco_bird,conv_1,decoding_accuracy_delta,cka,0.44117647058823534,0.08715363626051081
141,junco_bird,conv_1,decoding_accuracy_delta,procrustes,0.25,0.3503914791072017
142,junco_bird,conv_1,decoding_accuracy_delta,pwcca,0.14705882352941177,0.5867933937012053
143,junco_bird,conv_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.15,0.5792486306642535
144,junco_bird,conv_1,decoding_accuracy_delta,mean_cca_corr,-0.15,0.5792486306642535
145,junco_bird,conv_1,ablation_impact,cka,0.22810896536078834,0.3954878909103694
146,junco_bird,conv_1,ablation_impact,procrustes,0.2943341488526301,0.2684777709386866
147,junco_bird,conv_1,ablation_impact,pwcca,0.42531284509205053,0.10052087495622733
148,junco_bird,conv_1,ablation_impact,mean_sq_cca_corr,-0.4297278573248399,0.09666389078843074
149,junco_bird,conv_1,ablation_impact,mean_cca_corr,-0.4297278573248399,0.09666389078843074
150,junco_bird,conv_2,decoding_accuracy_delta,cka,0.4323529411764706,0.09442103753478695
151,junco_bird,conv_2,decoding_accuracy_delta,procrustes,0.4294117647058823,0.09693648522272379
152,junco_bird,conv_2,decoding_accuracy_delta,pwcca,0.2529411764705882,0.34456303133749866
153,junco_bird,conv_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.2529411764705882,0.34456303133749866
154,junco_bird,conv_2,decoding_accuracy_delta,mean_cca_corr,-0.2529411764705882,0.34456303133749866
155,junco_bird,conv_2,ablation_impact,cka,0.010309289530969178,0.9697732257627862
156,junco_bird,conv_2,ablation_impact,procrustes,0.07511053801134686,0.782193978353839
157,junco_bird,conv_2,ablation_impact,pwcca,0.048600936360283266,0.8581429949852923
158,junco_bird,conv_2,ablation_impact,mean_sq_cca_corr,-0.048600936360283266,0.8581429949852923
159,junco_bird,conv_2,ablation_impact,mean_cca_corr,-0.048600936360283266,0.8581429949852923
160,junco_bird,conv_3,decoding_accuracy_delta,cka,0.5441176470588236,0.029336337481376578
161,junco_bird,conv_3,decoding_accuracy_delta,procrustes,0.4588235294117647,0.07383553449548107
162,junco_bird,conv_3,decoding_accuracy_delta,pwcca,0.36470588235294116,0.16486839724475402
163,junco_bird,conv_3,decoding_accuracy_delta,mean_sq_cca_corr,-0.3941176470588235,0.13091285429899105
164,junco_bird,conv_3,decoding_accuracy_delta,mean_cca_corr,-0.3941176470588235,0.13091285429899105
165,junco_bird,conv_3,ablation_impact,cka,0.08983809448415997,0.7407408908066757
166,junco_bird,conv_3,ablation_impact,procrustes,0.12371147437163012,0.6480552705820453
167,junco_bird,conv_3,ablation_impact,pwcca,0.2680415278051986,0.3155143286814858
168,junco_bird,conv_3,ablation_impact,mean_sq_cca_corr,-0.28571459557257434,0.28339838961715047
169,junco_bird,conv_3,ablation_impact,mean_cca_corr,-0.28571459557257434,0.28339838961715047
170,junco_bird,conv_4,decoding_accuracy_delta,cka,0.4676470588235294,0.06776085019015395
171,junco_bird,conv_4,decoding_accuracy_delta,procrustes,0.44705882352941173,0.0825369233953715
172,junco_bird,conv_4,decoding_accuracy_delta,pwcca,0.38235294117647056,0.14385924954389048
173,junco_bird,conv_4,decoding_accuracy_delta,mean_sq_cca_corr,-0.3058823529411765,0.24925429892891857
174,junco_bird,conv_4,decoding_accuracy_delta,mean_cca_corr,-0.3058823529411765,0.24925429892891857
175,junco_bird,conv_4,ablation_impact,cka,-0.1870399672047265,0.48791372986863035
176,junco_bird,conv_4,ablation_impact,procrustes,-0.15316658731725635,0.5711712129173453
177,junco_bird,conv_4,ablation_impact,pwcca,0.05154644765484589,0.849634115197502
178,junco_bird,conv_4,ablation_impact,mean_sq_cca_corr,-0.0265096016510636,0.9223666399560873
179,junco_bird,conv_4,ablation_impact,mean_cca_corr,-0.0265096016510636,0.9223666399560873
