,class,layer,tile,decoding_accuracy_delta,ablation_impact,cka,procrustes,pwcca,mean_sq_cca_corr,mean_cca_corr
277,junco_bird,conv_4,5,-0.03179075195424885,0.02,0.00013959407806396484,0.00012683868408203125,0.00010672941233946798,0.9977127279389494,0.997856349185821
278,junco_bird,conv_4,6,-0.032801314564268824,0.16,0.00024145841598510742,0.0002028942108154297,0.0001078445503162051,0.9977097346471512,0.9978548522154208
279,junco_bird,conv_4,7,-0.04228368652455794,0.0,0.000643312931060791,0.0003814697265625,0.00010863680070272164,0.9977078625179628,0.9978539159341218
280,junco_bird,conv_4,8,-0.029772835422244293,0.14,5.179643630981445e-05,4.9591064453125e-05,0.00010539549207999599,0.9977163950555232,0.9978581831558964
281,junco_bird,conv_4,9,-0.042964561045068406,0.96,0.0001596212387084961,0.000133514404296875,0.00010689950667219783,0.997712257676795,0.99785611400128
282,junco_bird,conv_4,10,-0.03246428160956405,0.2,0.0002770423889160156,0.0002269744873046875,0.00010802216247052243,0.9977092731358715,0.9978546214058792
283,junco_bird,conv_4,11,-0.019080716554389587,1.02,0.0007620453834533691,0.0004448890686035156,0.0001085623388019652,0.9977080598619468,0.9978540146170624
284,junco_bird,conv_4,12,-0.028429809142388685,7.7,0.0002218484878540039,0.0001819133758544922,0.00010663750577200037,0.9977129459376813,0.9978564582077447
285,junco_bird,conv_4,13,0.01582464873830336,12.52,0.0005450248718261719,0.0004010200500488281,0.00010804177604739618,0.9977090898503514,0.997854529722963
286,junco_bird,conv_4,14,0.013259267346346748,10.82,0.0010048151016235352,0.0007026195526123047,0.00010899136512121377,0.99770668332224,0.9978533262007736
287,junco_bird,conv_4,15,0.052851932182651495,16.26,0.002815723419189453,0.0013753175735473633,0.00010920213609277862,0.9977065079846678,0.997853238484921
288,junco_bird,conv_5,0,0.0973811538799721,0.02,0.0006127357482910156,0.00043463706970214844,0.00023514806437530122,0.9974035338288929,0.9977016996794108
289,junco_bird,conv_5,1,0.0915787650840037,0.1,0.00184553861618042,0.0010318756103515625,0.00023891274374054916,0.9973940403171584,0.9976969508258878
290,junco_bird,conv_5,2,0.05265662165298407,0.02,0.004406154155731201,0.002085447311401367,0.00024287242139031662,0.9973838650975316,0.9976918608640276
291,junco_bird,conv_5,3,0.0344367172012322,0.0,0.019854843616485596,0.008376717567443848,0.00025119463483114224,0.9973628827373829,0.997681364818707
292,junco_bird,conv_5,4,-0.045153663062877936,0.0,4.976987838745117e-05,4.220008850097656e-05,0.0002300882384482783,0.997416158393069,0.9977080147464521
293,junco_bird,conv_5,5,-0.02163790056093584,0.0,0.00010734796524047852,8.606910705566406e-05,0.00023164454309965166,0.9974120272696909,0.9977059481955066
294,junco_bird,conv_5,6,-0.06315375607093499,0.04,0.00023609399795532227,0.00018095970153808594,0.00023395989024854735,0.9974060415907176,0.9977029539836051
295,junco_bird,conv_5,7,-0.07286732850157418,0.0,0.00106889009475708,0.0006775856018066406,0.00024035176606762576,0.997389943451578,0.9976949013500325
296,junco_bird,conv_5,8,-0.11765790487873562,0.08,2.3245811462402344e-06,2.384185791015625e-06,0.00022875156277724074,0.9974194719289119,0.9977096722627093
297,junco_bird,conv_5,9,-0.055122881958378,0.12,1.5020370483398438e-05,1.1682510375976562e-05,0.00022964087378163356,0.9974172024851868,0.9977085370201717
298,junco_bird,conv_5,10,-0.07739239487753125,0.78,0.00010848045349121094,8.58306884765625e-05,0.00023204727538450598,0.997410945643057,0.9977054071114362
299,junco_bird,conv_5,11,-0.029722216710824312,0.16,0.0009543299674987793,0.0005638599395751953,0.00023920594342696777,0.9973926544319464,0.9976962573919124
300,junco_bird,conv_5,12,0.026746327464957365,0.36,0.00010389089584350586,9.5367431640625e-05,0.00023143600592367974,0.997412612608213,0.9977062410324825
301,junco_bird,conv_5,13,0.04712886431389468,1.44,0.0004630088806152344,0.0003743171691894531,0.00023542980021251658,0.997402266660863,0.9977010656600737
302,junco_bird,conv_5,14,0.06052109000552974,4.74,0.0013889074325561523,0.0010097026824951172,0.0002400045043113863,0.9973904452454047,0.997695152195884
303,junco_bird,conv_5,15,0.12592842837782842,51.62,0.012812137603759766,0.0064623355865478516,0.0002494120265806865,0.9973667846934569,0.9976833164877899
304,junco_bird,dense_1,0,-0.00034532812446186334,0.0,0.0010254979133605957,0.0011582374572753906,0.02310462273281033,0.9339821539344316,0.9651618310121459
305,junco_bird,dense_1,1,-0.00034532812446186334,0.0,0.001975715160369873,0.001961231231689453,0.023324452116956995,0.9334585784947502,0.9648875815945261
306,junco_bird,dense_1,2,0.0010352690290135191,0.0,0.0030105113983154297,0.002813577651977539,0.023476383280382485,0.9330774579398702,0.9646886353001937
307,junco_bird,dense_1,3,-0.00034532812446186334,0.0,0.006260991096496582,0.005278944969177246,0.02379121361914771,0.9323430590641589,0.9643040550806489
308,junco_bird,dense_1,4,-0.00034532812446186334,0.02,0.00021135807037353516,0.00030434131622314453,0.022755005804183437,0.9349120211711222,0.9656511579149539
309,junco_bird,dense_1,5,-0.00034532812446186334,0.0,0.00038248300552368164,0.0005955696105957031,0.022955178308115,0.934370843585355,0.9653655643397142
310,junco_bird,dense_1,6,-0.00034532812446186334,0.0,0.0007247328758239746,0.0010914802551269531,0.02315531025423978,0.933846421102187,0.9650900260302498
311,junco_bird,dense_1,7,-0.00034532812446186334,0.0,0.002399921417236328,0.002674579620361328,0.02350077411318674,0.9330132157194406,0.9646542057226172
312,junco_bird,dense_1,8,-0.00034532812446186334,0.0,5.638599395751953e-05,0.00011134147644042969,0.02259686239765235,0.9353338591554984,0.9658730840874152
313,junco_bird,dense_1,9,-0.00034532812446186334,0.02,0.0002505779266357422,0.00044345855712890625,0.02287983682364847,0.9345552092106825,0.9654621159602735
314,junco_bird,dense_1,10,-0.00034532812446186334,0.02,0.0006682276725769043,0.0010042190551757812,0.02311999909555218,0.9339351510705671,0.9651369418315159
315,junco_bird,dense_1,11,-0.00034532812446186334,0.08,0.00261002779006958,0.0028895139694213867,0.02352829774339027,0.932940977369952,0.9646162010977027
316,junco_bird,dense_1,12,-0.00034532812446186334,2.54,0.00038695335388183594,0.0006350278854370117,0.02293201812424095,0.9344275802580078,0.9653960415347592
317,junco_bird,dense_1,13,-0.00034532812446186334,5.12,0.0009998679161071777,0.0014208555221557617,0.023227970588615254,0.9336436234043574,0.9649835304976343
318,junco_bird,dense_1,14,-0.00034532812446186334,5.44,0.0020850300788879395,0.0024584531784057617,0.023434038026070136,0.9331452732377495,0.9647231159950024
